,Año,Trimestre,Provincia,Accesos por cada 100 hab
270,2021,1,Corrientes,11.234115869536096
271,2021,1,Entre Ríos,18.070581721504354
272,2021,1,Formosa,8.330895284429907
273,2021,1,Jujuy,14.226045966500736
274,2021,1,La Pampa,26.943299898725044
275,2021,1,La Rioja,13.258360163449572
276,2021,1,Mendoza,10.926002451479471
277,2021,1,Misiones,11.758811611223322
278,2021,1,Neuquén,19.895917331182986
279,2021,1,Río Negro,18.724905657874665
280,2021,1,Salta,13.061128426236175
281,2021,1,San Juan,9.948368694803314
282,2021,1,San Luis,23.24883515831701
283,2021,1,Santa Cruz,12.391825403443834
284,2021,1,Santa Fe,23.242382186130484
285,2021,1,Santiago Del Estero,11.334871169032645
286,2021,1,Tierra Del Fuego,22.9312154304354
287,2021,1,Tucumán,13.57896382467824
288,2020,4,Buenos Aires,22.90151153254686
289,2020,4,Capital Federal,44.833968426782796
290,2020,4,Catamarca,12.567459308545084
291,2020,4,Chaco,11.50064617804086
292,2020,4,Chubut,20.950871174621614
293,2020,4,Córdoba,23.904978675681004
294,2020,4,Corrientes,11.172002734788627
295,2020,4,Entre Ríos,17.78197083072765
296,2020,4,Formosa,8.268390853815193
297,2020,4,Jujuy,13.669623117135359
298,2020,4,La Pampa,26.940422171804798
299,2020,4,La Rioja,13.339129511730942
300,2020,4,Mendoza,10.779753857792285
301,2020,4,Misiones,11.614898792582805
302,2020,4,Neuquén,19.943555550895127
303,2020,4,Río Negro,18.789319055171752
304,2020,4,Salta,13.088389057411085
305,2020,4,San Juan,9.251858120163535
306,2020,4,San Luis,23.375314368474104
307,2020,4,Santa Cruz,11.008682660661702
308,2020,4,Santa Fe,23.136769743176906
309,2020,4,Santiago Del Estero,10.857437164805166
310,2020,4,Tierra Del Fuego,22.609569143137627
311,2020,4,Tucumán,13.57016980842894
312,2020,3,Buenos Aires,22.410088053440287
313,2020,3,Capital Federal,44.62274289719256
314,2020,3,Catamarca,11.995288801288368
315,2020,3,Chaco,11.102767361905425
316,2020,3,Chubut,20.94871530485329
317,2020,3,Córdoba,23.029708353509868
318,2020,3,Corrientes,10.993613616681577
319,2020,3,Entre Ríos,17.398110879051448
320,2020,3,Formosa,8.120337229392224
321,2020,3,Jujuy,13.820037033679931
322,2020,3,La Pampa,26.115702018823033
323,2020,3,La Rioja,13.341312020771634
324,2020,3,Mendoza,10.422355488053226
325,2020,3,Misiones,11.331798537010407
326,2020,3,Neuquén,19.42045929269766
327,2020,3,Río Negro,17.54802558517
328,2020,3,Salta,12.670239307125406
329,2020,3,San Juan,9.88083251128296
330,2020,3,San Luis,22.8839263803681
331,2020,3,Santa Cruz,10.697207032526524
332,2020,3,Santa Fe,22.677710522681583
333,2020,3,Santiago Del Estero,10.76484130094044
334,2020,3,Tierra Del Fuego,22.771515363810202
335,2020,3,Tucumán,13.184990703555616
336,2020,2,Buenos Aires,21.552858404836318
337,2020,2,Capital Federal,44.15182686820503
338,2020,2,Catamarca,11.556666835285702
339,2020,2,Chaco,10.646198278920558
340,2020,2,Chubut,17.577923412048097
341,2020,2,Córdoba,22.262629768284135
342,2020,2,Corrientes,10.613139950481656
343,2020,2,Entre Ríos,16.90464963972206
344,2020,2,Formosa,7.925539742616724
345,2020,2,Jujuy,12.246000275261045
346,2020,2,La Pampa,25.07384596485546
347,2020,2,La Rioja,13.267548880443243
348,2020,2,Mendoza,10.116652469373573
349,2020,2,Misiones,11.136919674351834
350,2020,2,Neuquén,19.02059866374008
351,2020,2,Río Negro,17.338453751536527
352,2020,2,Salta,12.492822821915325
353,2020,2,San Juan,8.939786450606132
354,2020,2,San Luis,22.440286647722235
355,2020,2,Santa Cruz,10.650675172081195
356,2020,2,Santa Fe,22.01189934872471
357,2020,2,Santiago Del Estero,10.787648634906734
358,2020,2,Tierra Del Fuego,22.642392447335883
359,2020,2,Tucumán,12.826796661758182
360,2020,1,Buenos Aires,21.208081014212762
361,2020,1,Capital Federal,44.02408243452466
362,2020,1,Catamarca,9.568286447482455
363,2020,1,Chaco,10.018358007806318
